"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L",0.5,"fc.L_rm.0.5",0.906075,0.857,0.0296080426033398,0.0319831041787427,0.915920385564672,0.0291630564657356,0.73875,0.125138256873481,0.166666666666667,0.136082763487954,0.0416666666666667,0.0833333333333333,497.278380974895,37.3215626382253,7.83795510696955e-09,6
"LQ",0.5,"fc.LQ_rm.0.5",0.962991666666667,0.661,0.0368359904831788,0.0503564742207016,0.929470182109266,0.0622269407724387,0.33325,0.59982240427202,0.0833333333333333,0.0962250448649376,0.0416666666666667,0.0833333333333333,459.956818336669,0,0.996499595065932,7
"H",0.5,"fc.H_rm.0.5",0.982670833333333,0.939,0.0256445533987059,0.0167336093096919,0.953834800880528,0.0188800134860646,0.765,0.146585583647688,0.333333333333333,0.360041149911548,0.0833333333333333,0.0962250448649376,721.098711714524,261.141893377855,1.95990708410062e-57,20
"LQH",0.5,"fc.LQH_rm.0.5",0.983516666666667,0.92,0.0295065928445957,0.0119772028754438,0.948185578013475,0.0178627483458218,0.693,0.162014402651945,0.375,0.315494908100015,0.125,0.0833333333333333,627.540613591531,167.583795254862,4.05619064205369e-37,19
"L",1,"fc.L_rm.1",0.9047,0.726,0.0274567518288751,0.0307100950701587,0.917383763591488,0.026784913394544,0.7075,0.200849031198394,0.166666666666667,0.136082763487954,0.0416666666666667,0.0833333333333333,500.044378593601,40.087560256932,1.96595702581285e-09,6
"LQ",1,"fc.LQ_rm.1",0.95035,0.809,0.0200620372223334,0.0142909430452747,0.931021112667601,0.0434741982635497,0.21425,0.486932147908378,0.125,0.0833333333333333,0.0416666666666667,0.0833333333333333,471.393358621491,11.4365402848213,0.00327388905236125,7
"H",1,"fc.H_rm.1",0.976870833333333,0.85,0.0191906810753118,0.017397141718279,0.95578597158295,0.0176156263881634,0.729,0.143166569654604,0.291666666666667,0.369559297101391,0.0833333333333333,0.0962250448649376,481.408131777791,21.4513134411216,2.18969485548152e-05,13
"LQH",1,"fc.LQH_rm.1",0.977116666666667,0.884,0.0246564605429925,0.0164167927368972,0.946830598359015,0.0232670539134207,0.6635,0.234558450426896,0.333333333333333,0.333333333333333,0.125,0.0833333333333333,481.43071956171,21.4739012250403,2.1651038040845e-05,13
"L",1.5,"fc.L_rm.1.5",0.903304166666667,0.759,0.0260350654837347,0.0289881630755841,0.917046060969915,0.0259150856373982,0.73825,0.161022513953795,0.125,0.0833333333333333,0.0416666666666667,0.0833333333333333,498.806691277303,38.8498729406338,3.65034915142386e-09,5
"LQ",1.5,"fc.LQ_rm.1.5",0.937520833333333,0.851,0.0221216062971115,0.0185899066319378,0.923695884197185,0.0401570734322347,0.528,0.32620341302118,0.208333333333333,0.0833333333333333,0.0416666666666667,0.0833333333333333,482.024912224627,22.0680938879577,1.60861245031922e-05,7
"H",1.5,"fc.H_rm.1.5",0.97465,0.886,0.018020534542948,0.013503900631034,0.95456857447802,0.014104406209163,0.66,0.170105849399719,0.208333333333333,0.209717623201965,0.0833333333333333,0.0962250448649376,516.380811669259,56.4239933325895,5.57394463865135e-13,15
"LQH",1.5,"fc.LQH_rm.1.5",0.9744375,0.875,0.0243535009894826,0.016744169866281,0.943953872323394,0.026770724108579,0.64225,0.166191405714415,0.208333333333333,0.0833333333333333,0.125,0.0833333333333333,489.65064022301,29.6938218863411,3.55259443065877e-07,13
"L",2,"fc.L_rm.2",0.903475,0.771,0.0237336846552376,0.0290522442455881,0.915807818024148,0.0254496534167887,0.76275,0.185264450628464,0.0833333333333333,0.0962250448649376,0.0416666666666667,0.0833333333333333,500.571577783167,40.6147594464979,1.51040762995992e-09,5
"LQ",2,"fc.LQ_rm.2",0.925725,0.775,0.0297108820848064,0.0216842756875942,0.914040090721099,0.0390928253874626,0.6255,0.166722324040104,0.208333333333333,0.0833333333333333,0.0416666666666667,0.0833333333333333,492.33180319367,32.3749848570007,9.29690705177904e-08,7
"H",2,"fc.H_rm.2",0.972833333333333,0.899,0.0182984790874525,0.0116883779963311,0.952225501967847,0.0124187093690856,0.54825,0.27696735668065,0.166666666666667,0.136082763487954,0.0833333333333333,0.0962250448649376,494.753218036117,34.7963996994481,2.77035189086075e-08,13
"LQH",2,"fc.LQH_rm.2",0.971966666666667,0.846,0.0259280568341005,0.0211847614869246,0.939938963378027,0.0329047318158247,0.742,0.139549274451715,0.166666666666667,0,0.125,0.0833333333333333,477.442406882613,17.4855885459435,0.000159048587819081,11
"L",2.5,"fc.L_rm.2.5",0.903483333333333,0.74,0.0229804549396304,0.0270822078540368,0.912626742712294,0.0252861049548885,0.80325,0.142455548622486,0.0833333333333333,0.0962250448649376,0.0416666666666667,0.0833333333333333,498.85533292802,38.8985145913502,3.56264054336454e-09,4
"LQ",2.5,"fc.LQ_rm.2.5",0.914929166666667,0.794,0.0318357681275432,0.0207382618287664,0.912676772730305,0.0387212429707329,0.6525,0.177227725445729,0.125,0.0833333333333333,0.0416666666666667,0.0833333333333333,497.565723131983,37.6089047953139,6.78902198474751e-09,6
"H",2.5,"fc.H_rm.2.5",0.971691666666667,0.865,0.0186167255909101,0.01031506890849,0.949961643652858,0.01195103236231,0.39525,0.563005254563993,0.125,0.0833333333333333,0.0833333333333333,0.0962250448649376,490.475881900013,30.5190635633438,2.35150917368449e-07,12
"LQH",2.5,"fc.LQH_rm.2.5",0.969595833333333,0.8,0.0256292664487581,0.0239088293538282,0.937224834900941,0.0357697546765873,0.55725,0.237536488425112,0.125,0.0833333333333333,0.125,0.0833333333333333,483.854293129259,23.8974747925895,6.44475496313295e-06,11
"L",3,"fc.L_rm.3",0.903783333333333,0.753,0.0222494607875837,0.0230557015132565,0.908445067040224,0.0227442059829021,0.82275,0.0967449395748085,0.0833333333333333,0.0962250448649376,0.0416666666666667,0.0833333333333333,500.373853647897,40.4170353112278,1.66736016404294e-09,4
"LQ",3,"fc.LQ_rm.3",0.908508333333333,0.79,0.0320511751495342,0.0206892700578206,0.911567773997732,0.0387251188779994,0.7045,0.208020031086752,0.125,0.0833333333333333,0.0416666666666667,0.0833333333333333,499.658546406537,39.7017280698676,2.38427538488733e-09,5
"H",3,"fc.H_rm.3",0.9698625,0.779,0.0195158761923821,0.0106377375563972,0.945980088052832,0.0130981887834877,0.3195,0.559998511902785,0.125,0.0833333333333333,0.0416666666666667,0.0833333333333333,488.448686584842,28.4918682481729,6.479575384839e-07,11
"LQH",3,"fc.LQH_rm.3",0.965883333333333,0.814,0.0251150690414249,0.0269448312355212,0.933268294309919,0.0389566609543075,0.479,0.315361168609369,0.125,0.0833333333333333,0.125,0.0833333333333333,509.342783927547,49.385965590878,1.88126924960306e-11,13
